project_id,legacy_ocms_code,project_name,agency,state,date_of_approval,start_date,original_completion_date,revised_completion_date,original_cost,revised_cost,expenditure,physical_progress
617201,,Gondia-Balharshah [Chanda Fort] Doubling [240 Km],South East Central Railway,Maharashtra,04/2025,04/2025,03/2031,-,4373.04,4373.04,0.76,1
617215,,Doubling between Parbhani  Parli Vaijanath stations  64.71 Km,South Central Railway [SCR] - II,Maharashtra,12/2023,12/2023,03/2028,-,769.93,769.93,120.3,0.18
617361,,Babupeth - Sasti New Rail Line [13.114 KMs],CentralRailway,Maharashtra,10/2024,10/2024,03/2028,-,362.81,362.81,0.48,0
617364,,Double Chord line Between Nilaje-Kopar,CentralRailway,Maharashtra,01/2025,01/2025,07/2028,-,338.33,205,14.83,24
705356,220100181,Ahmednagar - Beed - Parli - Vaijnath  New Broad Gauge Line Railway Project [261.3 km],Central Railway [CR] - II,Maharashtra,01/1999,10/2002,03/2026,03/2026,2538.67,4957.27,5133.5,98
705357,N22000615,Baramati Lonand New Line Project,Central Railway,Maharashtra,03/2016,03/1999,03/2027,03/2027,138.48,1843.9,951.07,60
705479,N22000480,Wadsa-Gadchiroli,South East Central Railway,Maharashtra,05/2017,03/2012,03/2027,03/2027,1886,1886,776.21,65
705498,N22000233,3rd Line Kalyan - Kasara [67.35 Kilometres],Central Railway,Maharashtra,09/2015,09/2015,12/2026,12/2026,792.89,1395.79,1033.38,71
705500,N22000250,3rd Line Wardha - Sewagram - Nagpur,Central Railway [CR] - II,Maharashtra,09/2015,05/2016,12/2025,10/2026,540.02,916.53,811.58,88
705502,N22000356,3rd Line Wardha - Ballarshah [132 Kilometres],Central Railway [CR] - II,Maharashtra,03/2016,12/2016,12/2025,02/2026,1384.72,2033.59,1776.89,98
705503,N22000359,Pune - Miraj-Londa  [467 Kilometres],Central Railway,Maharashtra,06/2016,06/2016,02/2025,08/2025,4027.53,4872.52,5248.72,100
705504,N22000360,Doubling of Daund Manmad Line [247.6 km],Central Railway,Maharashtra,10/2017,03/2017,12/2025,03/2026,2081.27,3267.06,3030.48,92
